dataset,seed,method,valid_for_main_table,threshold,K,noise_strength,num_steps,guidance_scale,dice,iou,acc,sen,spec,auc,time_ms,fps
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9998201727867126,0.9996404051780701,0.999969482421875,0.9997302889823914,0.9999916553497314,0.9999999782648962,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.753632664680481,0.6046633124351501,0.9653968811035156,0.6671475172042847,0.9910958409309387,0.8291216866873677,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7791502475738525,0.6382032632827759,0.9661712646484375,0.7031509876251221,0.9905626177787781,0.8468568015530572,nan,nan
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.3678727149963379,0.2253946214914322,0.9363517761230469,0.23345835506916046,0.9969173073768616,0.8652743727931045,451.81669999146834,2.21328693697883
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.401328980922699,0.25103914737701416,0.9340133666992188,0.2606194019317627,0.9964609742164612,0.8789764242775473,451.81669999146834,2.21328693697883
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.19609615206718445,0.10870654881000519,0.9253730773925781,0.11473359912633896,0.9952226877212524,0.7571371383605903,1194.5433999644592,0.8371399482260357
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.19758357107639313,0.10962148755788803,0.9196891784667969,0.11651009321212769,0.9941725134849548,0.7689667709853527,1194.5433999644592,0.8371399482260357
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9998489022254944,0.9996978640556335,0.9999771118164062,0.999748170375824,0.9999958872795105,0.999999998960687,nan,nan
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9997699856758118,0.9995400309562683,0.9999656677246094,0.9996421933174133,0.999991774559021,0.9999999917826544,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7604687213897705,0.613513171672821,0.9676399230957031,0.6781828999519348,0.9913614988327026,0.8347722185883777,nan,nan
